Papier / Concept,Notes en Français (Originales),Traduction en Anglais
Ntk by part,condition sur la wavelength (valeur pour laquelle on fait une full rotation donc 2π/θ) et L/wave donne une condition pour si on doit atténuer θ ou non lors du calcul du RoPE [cite: 264],"condition on the wavelength (value for which we do a full rotation, so 2π/θ) and L/wave gives a condition on whether to attenuate θ or not during the RoPE calculation [cite: 264]"
Yarn (complet),ntk by part et division dans le softmax par un constante qui dépend du ratio L/L′ [cite: 264],Ntk by part and division in the softmax by a constant that depends on the ratio L/L′ [cite: 264]
Dual Chunk attention (DCA),"Le RoPE c'est entre q et k et ça fait une rotation m−n. Quand m−n est trop grand le modèle n'est pas entraîné. [cite: 264]DCA fait des chunks de taille 3/4 du max entraîné. [cite: 265]Si le token est distant relativement de moins d'un chunk : distance relative normale. [cite: 266]Si les tokens sont dans des chunks adjacents : distance relative capée sur la distance max −1. [cite: 266]Si les tokens sont dans des chunks non adjacents, gradient capé (on a un éloignement fixe maximal qui descend sur la valeur de k seulement) [cite: 266]","RoPE is between q and k and performs an m−n rotation. When m−n is too large, the model is not trained. [cite: 264]DCA uses chunks of size 3/4 of the max trained size. [cite: 265]If the token is relatively less than one chunk away: normal relative distance. [cite: 266]If the tokens are in adjacent chunks: relative distance capped at max distance −1. [cite: 266]If tokens are in non-adjacent chunks, capped gradient (we have a fixed maximal separation that only decreases on the value of k) [cite: 266]"
Qwen2,"classique Yarn Dual Chunk Attention, ORM, création d'instruction à partir de réponses de haute qualité, prompt avec guideline puis tu lui apprend sans les guidelines. [cite: 266]Le MoE a 8 experts actifs toujours et 8 partis sur 64 [cite: 267]","Classic Yarn Dual Chunk Attention, ORM, instruction creation from high-quality responses, prompt with guideline then you train it without the guidelines. [cite: 266]The MoE always has 8 active experts out of 64 total [cite: 267]"
Jina (XLM-RoBERTa),XLM-RoBERTa RoPE avec un fine-tuning LoRA pour les différentes tâches et du two towers avec 2 adapters pour query et passage. [cite: 267]Par contre reranker pas top [cite: 268],"XLM-RoBERTa RoPE with LoRA fine-tuning for different tasks and two towers with 2 adapters for query and passage. [cite: 267]However, reranker is not great [cite: 268]"
Itérations of thought,un inner dialogue agent juge et gère le dialogue et les reformulations. [cite: 268]Un LLM agent répond aux requêtes et améliorations du IDA [cite: 269],an inner dialogue agent (IDA) judges and manages the dialogue and reformulations. [cite: 268]An LLM agent responds to requests and IDA improvements [cite: 269]
Molmo,"CLIP + Qwen, aucun freezer pour le pretraining. [cite: 269]Dataset humain avec le captions en speech pour être efficace. [cite: 270]Dataset et fine-tuning pour pointer sur une image [cite: 271]","CLIP + Qwen, no freezing for pretraining. [cite: 269]Human dataset with captions as speech for efficiency. [cite: 270]Dataset and fine-tuning for pointing on an image [cite: 271]"
Logic of thought,"extraire les éléments logiques d'un prompt, utiliser un programme ou des logiques pour en déduire quelque chose, parser ça avec un LLM comme réponse [cite: 271]","extract logical elements from a prompt, use a program or logic to deduce something, parse that with an LLM as a response [cite: 271]"
Rag and beyond survey,"il y a 4 types d'applications RAG et il faut savoir ce qu'on veut faire[cite: 271]: Explicit facts retrieval; Implicite facts (graph, tree, itérative, text 2 sql) il faut faire des liens; Interprétation (prompt, COT, il faut réfléchir et interpréter); Hidden rationals (office learning utiliser un LLM pour déduire des choses, in context learning i.e. few shot et fine-tuning [cite: 272]) il faut se servir d'événements passés pour en sortir une logique exemple analyse d'incidents [cite: 272]","there are 4 types of RAG applications and you need to know what you want to do[cite: 271]: Explicit facts retrieval; Implicit facts (graph, tree, iterative, text 2 sql) links must be made; Interpretation (prompt, COT, reflection and interpretation are required); Hidden rationals (office learning use an LLM to deduce things, in context learning i.e. few shot and fine-tuning [cite: 272]) past events must be used to extract a logic, e.g., incident analysis [cite: 272]"
Making llm text embedders,on instruct un LLM avec few shot query passage puis on donne une query et on fine tune sur la NCE sur le token end of séquence [cite: 272],"we instruct an LLM with few-shot query passage, then we give a query and fine-tune on NCE on the end-of-sequence token [cite: 272]"
Colpali,"Colbert sur les patchs avec un LLM pour avoir token par token[cite: 272]. Late interaction : on regarde le maximum de similarité entre un token de text et chaque patch de l'image puis on somme ce max sur l'ensemble des tokens de text de la query, cela donne le LI entre la query et l'image. On a après une matrice de la taille query pages [cite: 273]","Colbert on patches with an LLM to have token by token[cite: 272]. Late interaction: we loat the maximum similarity between a text token and each image patch then we sum this max over all text tokens in the query, which gives the LI between the query and the image. We then have a matrix of size query pages [cite: 273]"
Slora,"partage de beaucoup d'adapter grâce à un batching, un load depuis la RAM et un tenseur parallèle [cite: 273]","sharing many adapters thanks to batching, loading from RAM, and parallel tensor [cite: 273]"
Where rnn all we needed,"min Lstm et min gru - on enlevé quasi toutes les récurrences sauf pour la sortie, on enlevé tous les tanh et grâce à un algo la récurrence est parallélisable quand c'est dans le format restant (parallel scan) [cite: 273]","min LSTM and min GRU - almost all recurrences removed except for the output, all tanh removed, and thanks to an algorithm the recurrence is parallelizable when it is in the remaining format (parallel scan) [cite: 273]"
Llms Know more than they show,"à partir des tokens qui font vraiment la réponse et des logits des layers d'avant (extraits avec un autre call LLM malheureusement) il est possible de classifier si la réponse est juste ou fausse[cite: 273, 274]. Probing classifier [cite: 274]","from the tokens that actually form the answer and the logits of the previous layers (extracted with another LLM call unfortunately) it is possible to classify whether the answer is right or wrong[cite: 273, 274]. Probing classifier [cite: 274]"
Contextuel document embedding,un peu comme un truc avec un vision encoder on rajoute au niveau de l'embedding les infos des autres documents proches + Entraînement sur des données de même cluster pour rendre les batchs plus difficiles [cite: 274],"a bit like a vision encoder thing, we add the info from other close documents to the embedding + Training on data from the same cluster to make batches more difficult [cite: 274]"
Nouveau modèle vision aria,"66 MoE plus petits que les FFN avec 2 communs et 6 choisis, la dim interne des experts est plus petite que la dim hidden, ViT avec learnable latent queries par un adapter en sortie. [cite: 274]Le modèle a des experts visuels selon la modalité dans chaque couche [cite: 275]","66 MoE smaller than FFNs with 2 common and 6 selected, the internal dimension of the experts is smaller than the hidden dimension, ViT with learnable latent queries via an output adapter. [cite: 274]The model has visual experts according to the modality in each layer [cite: 275]"
Pixtral,"RoPE 2D, break et end images [cite: 275]","RoPE 2D, break and end images"
Nvidia judge et dataset (Bradley Terry / SteerLM),"Bradley Terry (LLM + dense qui écarte le reward d'un win et loose end of séquence) et SteerLM régression (LLM + dense end of séquence qui prédit parmi 4 score), en réalité BT avec le base LLM qui est un SteerLM est le meilleur reward. [cite: 275] Les sets jugés par GPT-4o favorisent des sets de data de GPT-4o. Reinforce meilleur que PPO meilleur que DPO. [cite: 276]","Bradley Terry (LLM + dense that spreads the reward of a win and loose end of sequence) and SteerLM regression (LLM + dense end of sequence that predicts among 4 scores), in reality BT with the base LLM which is a SteerLM is the best reward. [cite: 275] Sets judged by GPT-4o favor GPT-4o data sets. Reinforce better than PPO better than DPO. [cite: 276]"
Model mergin différentiable adaptive merging,"Merge les modèles en les sommant avec un coefficient par modèle par layer par colonne. [cite: 277]Ces coefficients sont appris en minimisant une loss basée sur la KL divergence des logits entre le modèle merge et le modèle spécialisé sur i avec le dataset de i (avec un dataset et un modèle pour chaque type de modèle), L1 et L2 et on essaie aussi de minimiser la cosine distance entre les coefficients de chaque modèle pour aligner dans le même sens. [cite: 278]L'embedding et la RMS restent ceux du base modèle non spécialisé. [cite: 279]Il faudrait faire QLoRA adapter merging maintenant [cite: 280]","Merge models by summing them with a coefficient per model per layer per column. [cite: 277]These coefficients are learned by minimizing a loss based on the KL divergence of the logits between the merged model and the model specialized on i with the dataset of i (with one dataset and one model for each model type), L1 and L2, and we also try to minimize the cosine distance between the coefficients of each model to align them in the same direction. [cite: 278]The embedding and RMS remain those of the non-specialized base model. [cite: 279]QLoRA adapter merging should be done now [cite: 280]"
Allegro,"video VAE bien fait (temporal et res net), bonnes données, video DiT (self attention avec 3D RoPE, cross avec text et temporal avec Adaln) prédire le noise dans le latent [cite: 280]","well-made video VAE (temporal and res net), good data, video DiT (self attention with 3D RoPE, cross with text and temporal with Adaln) predict noise in the latent [cite: 280]"
Adaln,une couche de scale et shift de conditioning ajoutée avant chaque bloc d'attention [cite: 281],a scale and shift conditioning layer added before each attention block [cite: 281]
Réduction attention layer,similarité entre la sortie et l'entrée pour voir si c'est utile. [cite: 281]Tu enlèves la moitié des couches c'est quasi pareil [cite: 281],"similarity between output and input to see if it's useful. [cite: 281]You remove half the layers, it's almost the same [cite: 281]"
Rewarding progress scaling automated process,"on mesure la progression dans le process plutôt que la justesse de l'étape, un autre modèle weak mais pas trop c'est mieux pour ça et avec du beam search [cite: 281]","we measure progress in the process rather than the correctness of the step, another model that's weak but not too much is better for this, and with beam search [cite: 281]"
AttnLRP,layer wise relevance propagation [cite: 282],layer wise relevance propagation [cite: 282]
Spéculative decoding distillation,plutôt que d'avoir une ground truth ou les logits du teacher. [cite: 282]On laisse le student générer en mode spéculative et si le token généré n'est pas dans le top k du teacher on le rétribue et on continue. [cite: 282]Ça crée un dataset proche des 2 distributions [cite: 283],"rather than having a ground truth or the teacher's logits. [cite: 282]We let the student generate in speculative mode, and if the generated token is not in the teacher's top k, we reward it and continue. [cite: 282]This creates a dataset close to the 2 distributions [cite: 283]"
Arithmetic without algorithm,sur des opérations simples (+×−) un très petit nombre de neurones par layer est responsable du résultat. [cite: 283]Ils correspondent à des heuristiques (pour une opération et une range de réponse). [cite: 284]La solution d'opérations vient d'une combinaison de ces heuristiques [cite: 285],on simple operations (+×−) a very small number of neurons per layer is responsible for the result. [cite: 283]They correspond to heuristics (for an operation and a range of answer). [cite: 284]The solution to operations comes from a combination of these heuristics [cite: 285]
Longrag,Retriever et rerank[cite: 285]. Utiliser un LLM pour extraire l'info globale du chunk associé à un long contexte autour du chunk - info 1. [cite: 285]Sélectionner le chunk avec un COT qui décide si ça va répondre ou pas - info 2 [cite: 285],Retriever and rerank[cite: 285]. Use an LLM to extract global info from the chunk associated with a long context around the chunk - info 1. [cite: 285]Select the chunk with a COT that decides if it will answer or not - info 2 [cite: 285]
Modèle Tencent,"MoE 16 experts, 1 commun + 1 activé. [cite: 286] Cross layer attention toutes les 2 couches. RoPE et SwiGLU. On policy et off policy DPO. [cite: 286]Beaucoup de synthétique [cite: 287]","MoE 16 experts, 1 common + 1 activated. [cite: 286] Cross-layer attention every 2 layers. RoPE and SwiGLU. On-policy and off-policy DPO. [cite: 286]Lots of synthetic data [cite: 287]"
Nanny ml metrics without ground truth,,
L'autre colpali unifying,"pas de late interaction, LLM phi et CLIP [cite: 287]","no late interaction, LLM phi and CLIP [cite: 287]"
Docling (Table former / Layout),"Table former : modèle transformer d'extraction de tables avec un décoder pour les tags (structure) et un pour les box (extraction du contenu)[cite: 287]. Layout : basé sur RT-DETR qui est YOLO en mieux : suite de CNN pour extraire différentes features, AIFI fusion pour meilleure information, fusion des features cross channel qui deviennent des queries puis transformer pour extraire les plus importantes et têtes de détection [cite: 287]","Table former: transformer model for table extraction with one decoder for tags (structure) and one for boxes (content extraction)[cite: 287]. Layout: based on RT-DETR which is YOLO but better: sequence of CNNs to extract different features, AIFI fusion for better information, fusion of cross-channel features that become queries then transformer to extract the most important ones and detection heads [cite: 287]"
Mixture of transformer,"On a un transformer par modalité. On classe la séquence par modalité (text, image, speech) on fait les projections Q,V, K, on réordonne pour la formule de l'attention. [cite: 288]On reclasse par modalité puis on a un feedforward par modalité et on ordonne de nouveau. [cite: 289]On peut même avoir différentes loss par transformer du coup (diffusion vs autoregressif) [cite: 290]","We have one transformer per modality. We classify the sequence by modality (text, image, speech), we make the Q, V, K projections, we reorder for the attention formula. [cite: 288]We reclassify by modality then we have a feedforward per modality and we order again. [cite: 289]We can even have different losses per transformer (diffusion vs autoregressive) [cite: 290]"
Pddl (Planning Domain Definition Language),"pour planning et API plusieurs soucis : nombre d'API limité, hallucinations, query pas complète pour les clés, planning difficile. [cite: 290]LLM qui génère une représentation de la query en ASP puis PDDL via le solver qui fait le pont entre sémantique et API (Planning Domain Definition Language) avec un PDDL qui représente le domaine (action possible input et output) et un pour la tâche[cite: 291]. On résout ça avec un solver classique IA donc pas d'hallucinations etc [cite: 291]","for planning and API several issues: limited number of APIs, hallucinations, incomplete query for keys, difficult planning. [cite: 290]LLM that generates a representation of the query in ASP then PDDL via the solver which bridges semantics and API (Planning Domain Definition Language) with one PDDL representing the domain (possible actions, input and output) and one for the task[cite: 291]. This is solved with a classic AI solver, so no hallucinations, etc. [cite: 291]"
Explainability pour Molmo,(en utilisant CLIP) [cite: 291],(using CLIP) [cite: 291]
Taxonomy agentops,,
Qwen coder report,"Qwen 2.5 en base, data code, text et math avec NTP et fill in the Middle (on donne le début et la fin d'un code et il fait le milieu avec des tokens spéciaux pour lui dire). [cite: 292]RoPE et augmentation de la fréquence pour long contexte sur des repos + Yarn [cite: 292]","Qwen 2.5 as base, code, text, and math data with NTP and Fill-in-the-Middle (we give the start and end of a code and it generates the middle with special tokens to instruct it). [cite: 292]RoPE and frequency increase for long context on repos + Yarn [cite: 292]"
Nvidia paper ssm et attention,meta token pour stocker l'info (différents pour différents domaines). [cite: 293] SSM et attention qui sont pool. Sliding Window sauf pour 3 layers pour accélérer car SSM a déjà le global. [cite: 294] Cross layer attention. L'attention se concentre sur le cross et le SSM sur le self [cite: 295],meta token to store info (different for different domains). [cite: 293] SSM and attention are pooled. Sliding Window except for 3 layers to speed up because SSM already has the global view. [cite: 294] Cross-layer attention. Attention focuses on cross and SSM on self [cite: 295]
Tulu,"Llama 3.1 base model[cite: 295]. Gros job sur la data, SFT avec un focus sur des skills (math, code, recall, instruct), DPO on policy et off policy avec d'autres models + GPT-4o qui score les préférences, et RL with vérifiable reward avec maths et précise instructions avec PPO et un vérifiable. [cite: 295]Grosse étude des overlap des datasets entre train et eval avec ngram. [cite: 296]Génération de data avec des persona (250k persona). [cite: 296]SFT skill specific model pour ajuster le dataset et savoir quel dataset est bien pour quel skill. [cite: 296]Quand on veut entraîner un plus gros modèle on augmente le batch size et diminue le LR. [cite: 296]Framework d'évaluation complet [cite: 296]","Llama 3.1 base model[cite: 295]. Big job on the data, SFT with a focus on skills (math, code, recall, instruct), DPO on-policy and off-policy with other models + GPT-4o scoring preferences, and RL with verifiable reward with math and precise instructions with PPO and a verifiable reward. [cite: 295]Major study of dataset overlap between train and eval with ngram. [cite: 296]Data generation with personas (250k personas). [cite: 296]SFT skill specific model to adjust the dataset and know which dataset is good for which skill. [cite: 296]When training a bigger model, we increase the batch size and decrease the LR. [cite: 296]Complete evaluation framework [cite: 296]"
Flux,"diffuser classique avec latent pour le noise, scheduler pour savoir les timestamp, T5 encoder pour le text mais CLIP pour ajouter au scheduler pour pas mal d'étapes de modulation. [cite: 296]N composants de multimodal (en gros on mélange text et image en faisant du point wise de q,k et v donc c'est pas de la cross attention) avec une étape de modulation par modalité. [cite: 297]Puis N composants de self attention normale du truc assemblé. [cite: 298]QWQ : principalement entraîné sur du COT [cite: 299]","Classic diffuser with latent for noise, scheduler to know the timestamp, T5 encoder for text but CLIP to add to the scheduler for many modulation steps. [cite: 296]N multimodal components (basically mixing text and image by doing point-wise q,k, and v, so it's not cross-attention) with a modulation step per modality. [cite: 297]Then N normal self-attention components of the assembled thing. [cite: 298]QWQ: mainly trained on COT [cite: 299]"
Qwen2vl,"Naive dynamic résolution : process toutes les résolutions et vidéos possibles avec 2D RoPE dans le ViT + compression après patching avec un MLP pour 2×2=1 token[cite: 299]. Multimodal RoPE : 3 dimensions et incrémentation de 1 pour le changement de modalité du maximum des 3 modalités[cite: 299]. Vidéo : 2 frames par secondes sampled, avec une limite de token par vidéos qui influe sur la compression et 3D convolution (dans le ViT ???) [cite: 299]","Naive dynamic resolution: processes all possible resolutions and videos with 2D RoPE in the ViT + compression after patching with an MLP for 2×2=1 token[cite: 299]. Multimodal RoPE: 3 dimensions and incrementation by 1 for modality change of the maximum of the 3 modalities[cite: 299]. Video: 2 frames per second sampled, with a token limit per video that influences compression and 3D convolution (in the ViT ???) [cite: 299]"
Autoround quantization,quantize et dequantize avec une formule qui clip avec un param s qui dépend de α et β [cite: 300]et v qui sont appris sur l'erreur de dequantization [cite: 300],quantize and dequantize with a formula that clips with a param s that depends on α and β [cite: 300]and v which are learned on the dequantization error [cite: 300]
Gaia,"leader board de 400 questions classées qui nécessite des tools. [cite: 300]Tools : Web browsing, multimodality tool (STT, OCR, ), coding, file read, autre [cite: 301]","leaderboard of 400 classified questions that require tools. [cite: 300]Tools: Web browsing, multimodality tool (STT, OCR, ), coding, file read, other [cite: 301]"
Yi lightbing,classique MoE [cite: 301],classic MoE [cite: 301]
Chain of continious thought,le COT se fait en latent pour avoir beaucoup plus d'informations et revient direct en input sans skipper le tokenizer. [cite: 301]Fixed size thinking et k steps de thinking [cite: 302],COT is done in latent space to have much more information and goes directly back into the input without skipping the tokenizer. [cite: 301]Fixed size thinking and k thinking steps [cite: 302]
Process bench,,
Meta no token,"On travaille au niveau des bytes avec un embedding auquel on ajoute les hash des ngrams précédents. [cite: 302]On fait de la cross attention pour représenter les patchs (key et values) de manière perceiver resampler. [cite: 303]Ces groupements de bytes sont déterminés à partir d'un petit self transformer et de la perte d'entropie sur la tâche de next byte prediction. [cite: 304]Ensuite on passe dans un petit encoder qui fait le perceiver avec une couche self et une couche cross avec les vecteurs patchs qui sont initialisés avec un max pooling des embedding des bytes du patch pour représenter les groupes de bytes en patch et en sortie de l'encodeur, les patchs sont envoyés dans un transformer classique puis décodés avec sensiblement le même système inverse (cross attention puis transformer)[cite: 305]. Prédiction de 1 byte ou d'une séquence de bytes ??? [cite: 305]Regarder le code pour voir ce qui est décodé et à quel moment c'est patché [cite: 306]","We work at the byte level with an embedding to which we add the hashes of the previous ngrams. [cite: 302]We use cross-attention to represent the patches (key and values) in a perceiver resampler manner. [cite: 303]These byte groupings are determined from a small self-transformer and the entropy loss on the next byte prediction task. [cite: 304]Then we pass through a small encoder that performs the perceiver with a self layer and a cross layer with the patch vectors that are initialized with a max pooling of the byte embeddings of the patch to represent the byte groups in a patch, and at the encoder output, the patches are sent to a classic transformer then decoded with essentially the same inverse system (cross-attention then transformer)[cite: 305]. Prediction of 1 byte or a sequence of bytes??? [cite: 305]Check the code to see what is decoded and when it is patched [cite: 306]"
Jina clip v2,"XML roberta et image encoder Eva02, train en 3 stages sur de l'info NCE avec hard negative et long captions au stage 3, full multilingue avec le dataset Vidore en particulier. [cite: 306]Pas au niveau de Colpali mais ça va [cite: 307]","XLM-RoBERTa and image encoder Eva02, trained in 3 stages on NCE info with hard negatives and long captions at stage 3, fully multilingual with the Vidore dataset in particular. [cite: 306]Not at Colpali's level but it's fine [cite: 307]"
Large concept model,"Sonar qui encode et décode des phrases[cite: 307]. LCM qui génère les concepts (les représentations des phrases) - decoder only avec une MSE loss, diffusion pour avoir un espace continu [cite: 307]","Sonar that encodes and decodes sentences[cite: 307]. LCM that generates the concepts (sentence representations) - decoder only with an MSE loss, diffusion to have a continuous space [cite: 307]"
Apollo llm,"SigLIP image encoder et InternVideo2 vidéo encoder concat et passés dans un perceiver puis Qwen. [cite: 308]Ablation sur les types de data, les encoder, le sampling des vidéos. [cite: 308]Gros benchmark modèle vidéos [cite: 308]","SigLIP image encoder and InternVideo2 video encoder concatenated and passed into a perceiver then Qwen. [cite: 308]Ablation on data types, encoders, video sampling. [cite: 308]Big video model benchmark [cite: 308]"
Nvlm (Nvidia VLM),"ablation sur la méthode de jointure des patchs et du LLM (cross encoder, MLP, ...) découpage de l'image avec thumbnail [cite: 308]","ablation on the method for joining patches and the LLM (cross encoder, MLP, ...) image slicing with thumbnail [cite: 308]"
Adam vs AdamW,Weight decay = L2 directement appliquée au param et multipliée par le LR alors que Adam n'a pas le LR sur L2 cela permet de ne pas avoir de trop gros poids d'être stable et généraliste. [cite: 309]Momentum = prise en compte des gradients d'avant pour convergence plus rapide et moins de bruit. [cite: 310]Velocité = prise en compte du carré des gradients pour adapter le learning rate. [cite: 311]Clipping on empêche la norme de gradient de dépasser 1 pour ne pas exploser[cite: 311]. Linéar warmup : on monte le LR petit à petit pour pas apprendre trop vite et garder un optimum[cite: 311]. Cosine decay : on diminue jusqu'à 0 le LR sur la période pour continuer petit à petit à converger sans rater l'optima et arriver chill à la fin sans tout bouger [cite: 311],"Weight decay = L2 directly applied to the parameter and multiplied by the LR, while Adam doesn't have the LR on L2, which helps to avoid having too large weights, to be stable and generalist. [cite: 309]Momentum = takes previous gradients into account for faster convergence and less noise. [cite: 310]Velocity = takes the square of the gradients into account to adapt the learning rate. [cite: 311]Clipping prevents the gradient norm from exceeding 1 to avoid explosion[cite: 311]. Linear warmup: the LR is gradually increased to avoid learning too fast and maintain an optimum[cite: 311]. Cosine decay: the LR is decreased to 0 over the period to continue converging gradually without missing the optima and arriving chill at the end without moving everything [cite: 311]"
Loss ocr (CTC),CTC avec −log de la proba. [cite: 312]On a un token blank qui permet au modèle de prédire rien quand il n'a pas toutes les infos. [cite: 313]Ensuite on supprime les blank et les répétitions qui ne sont pas séparées par blank. [cite: 314]La CTC loss prend en compte les différents chemins qui peuvent amener à la bonne prédiction (donc avec les blancs et répétitions) [cite: 314],"CTC with −log of the probability. [cite: 312]We have a blank token that allows the model to predict nothing when it doesn't have all the info. [cite: 313]Then we remove blanks and repetitions not separated by blank. [cite: 314]The CTC loss accounts for different paths that can lead to the correct prediction (i.e., with blanks and repetitions) [cite: 314]"
Crnn,conv pour avoir 1 ou 2 de hauteur et les channels et la largeur de l'image. [cite: 315]Puis split par colonne qu'on envoie à un RNN + FNN + softmax qui prédit le caractère ou un blank pour chaque pas de séquence [cite: 315],Conv to get 1 or 2 in height and channels and image width. [cite: 315]Then split by column that is sent to an RNN + FNN + softmax which predicts the character or a blank for each sequence step [cite: 315]
Cohere (Architecture),3 couches avec sliding window et RoPE et une couche avec full séquence sans positional encoding [cite: 315],3 layers with sliding window and RoPE and one layer with full sequence without positional encoding [cite: 315]
Q former = query former,"on a des query latent comme pour le perceiver resampler sauf que on a 2 modules : un avec la query latent, self attention et cross attention avec un image encoder et un pur encoder avec comme input le texte correspondant à l'image. [cite: 316]Ensuite on apprend en constructive à avoir des latents qui en sortie de Q former ressemblent à la sortie du texte [cite: 316]","we have latent queries like for the perceiver resampler except that we have 2 modules: one with the latent query, self-attention, and cross-attention with an image encoder, and a pure encoder with the text corresponding to the image as input. [cite: 316]Then we learn constructively to have latents at the output of Q former that resemble the text output [cite: 316]"
Perceiver resampler,"transformer avec des latents : q c'est le latent, k et v c'est latent concat avec ce qu'on veut représenter [cite: 316]","transformer with latents: q is the latent, k and v is latent concat with what we want to represent [cite: 316]"
Wave2vec,Des couches de CNN avec activation GeLU pour faire un latent (512 channels)[cite: 317]. Un transformer pour représenter l'embedding[cite: 317]. Puis entraînement self supervised : on mask 50% des latent et on fait passer ça dans un quantizer qui les représente de façon discrète. [cite: 317]On sample 100 latent quantize comme négative et le bon comme positive et on fait constrative loss entre la sortie du transformer et ceux-là [cite: 317],CNN layers with GeLU activation to create a latent (512 channels)[cite: 317]. A transformer to represent the embedding[cite: 317]. Then self-supervised training: we mask 50% of the latent and pass it through a quantizer which represents them discretely. [cite: 317]We sample 100 quantized latents as negative and the correct one as positive and we use contrastive loss between the transformer output and those [cite: 317]
Test time Training,"dataset ARC, permutation pour augmenter et fine-tuning LoRA sur la tâche spécifique augmente beaucoup les perfs [cite: 317]","ARC dataset, permutation for augmentation and LoRA fine-tuning on the specific task greatly increases performance [cite: 317]"
